freq,dbm
20.305,28.7396
22.426,26.5587
25.039,24.3784
30.01,22.6779
33.32,20.4026
36.006,18.2202
39.338,15.9434
42.512,13.6659
44.447,12.052
47.513,9.7738
50.242,7.3998
51.948,6.1656
55.531,3.8873
56.158,3.3174
64.635,5.3238
76.886,6.8569
97.67,7.9186
122.73,8.7895
149.47,7.2806
170.3,7.9549
189.69,10.0543
196.08,9.2956
225.71,11.0167
262.7,12.5483
302.62,13.033
363.91,14.6619
437.72,15.8152
532.16,17.3496
639.93,18.9785
777.91,20.7031
925.4,22.141
1088.8,23.8636
1309.5,25.2071
1540.7,26.8345
1832.7,28.3675
2156.4,29.8998
2428.2,32.095
2857.4,33.4371
3217.6,35.5372
